entity,coupled,degree,average-revs
ODIN_II/SRC/lib_netlist/netlist_utils.c,ODIN_II/SRC/lib_netlist/partial_map.c,100,5
ODIN_II/SRC/lib_netlist/netlist_create_from_ast.c,ODIN_II/SRC/lib_netlist/partial_map.c,100,5
ODIN_II/SRC/lib_netlist/netlist_create_from_ast.c,ODIN_II/SRC/lib_netlist/netlist_utils.c,100,5
ODIN_II/SRC/memories.c,ODIN_II/SRC/subtractions.c,94,9
ODIN_II/SRC/multipliers.c,ODIN_II/SRC/subtractions.c,94,9
ODIN_II/SRC/partial_map.c,ODIN_II/SRC/subtractions.c,93,8
ODIN_II/SRC/string_cache.c,ODIN_II/SRC/verilog_preprocessor.c,93,8
ODIN_II/SRC/implicit_memory.c,ODIN_II/SRC/string_cache.c,92,7
ODIN_II/SRC/activity_estimation.c,ODIN_II/SRC/netlist_visualizer.c,90,6
ODIN_II/SRC/memories.c,ODIN_II/SRC/read_blif.c,88,9
ODIN_II/SRC/memories.c,ODIN_II/SRC/multipliers.c,88,9
ODIN_II/SRC/memories.c,ODIN_II/SRC/partial_map.c,87,8
ODIN_II/SRC/multipliers.c,ODIN_II/SRC/partial_map.c,87,8
ODIN_II/SRC/implicit_memory.c,ODIN_II/SRC/verilog_preprocessor.c,85,7
ODIN_II/SRC/output_blif.cpp,ODIN_II/SRC/read_blif.cpp,83,6
ODIN_II/SRC/read_blif.c,ODIN_II/SRC/subtractions.c,82,9
ODIN_II/SRC/memories.c,ODIN_II/SRC/output_blif.c,80,10
ODIN_II/SRC/adders.c,ODIN_II/SRC/subtractions.c,80,10
ODIN_II/SRC/implicit_memory.c,ODIN_II/SRC/memories.c,80,8
ODIN_II/SRC/implicit_memory.c,ODIN_II/SRC/read_blif.c,80,8
ODIN_II/SRC/lib_ast/ast_elaborate.c,ODIN_II/SRC/lib_ast/ast_util.c,80,8
ODIN_II/SRC/multipliers.c,ODIN_II/SRC/read_blif.c,77,9
ODIN_II/SRC/output_blif.c,ODIN_II/SRC/partial_map.c,77,9
ODIN_II/SRC/adders.c,ODIN_II/SRC/memories.c,76,11
ODIN_II/SRC/adders.c,ODIN_II/SRC/multipliers.c,76,11
ODIN_II/SRC/implicit_memory.c,ODIN_II/SRC/read_netlist.c,76,7
ODIN_II/SRC/implicit_memory.c,ODIN_II/SRC/partial_map.c,76,7
ODIN_II/SRC/read_blif.c,ODIN_II/SRC/read_netlist.c,75,8
ODIN_II/SRC/read_blif.c,ODIN_II/SRC/string_cache.c,75,8
ODIN_II/SRC/partial_map.c,ODIN_II/SRC/read_blif.c,75,8
ODIN_II/SRC/memories.c,ODIN_II/SRC/string_cache.c,75,8
ODIN_II/SRC/memories.c,ODIN_II/SRC/read_netlist.c,75,8
ODIN_II/SRC/adders.c,ODIN_II/SRC/partial_map.c,73,10
ODIN_II/SRC/output_blif.c,ODIN_II/SRC/subtractions.c,73,10
ODIN_II/SRC/netlist_utils.c,ODIN_II/SRC/read_netlist.c,73,10
ODIN_II/SRC/implicit_memory.c,ODIN_II/SRC/subtractions.c,71,7
ODIN_II/SRC/partial_map.c,ODIN_II/SRC/string_cache.c,71,7
ODIN_II/SRC/partial_map.c,ODIN_II/SRC/read_netlist.c,71,7
ODIN_II/SRC/read_netlist.c,ODIN_II/SRC/string_cache.c,71,7
ODIN_II/SRC/adders.c,ODIN_II/SRC/ast_util.c,70,16
ODIN_II/SRC/output_blif.c,ODIN_II/SRC/read_blif.c,70,10
ODIN_II/SRC/multipliers.c,ODIN_II/SRC/output_blif.c,70,10
ODIN_II/SRC/memories.c,ODIN_II/SRC/verilog_preprocessor.c,70,9
ODIN_II/SRC/implicit_memory.c,ODIN_II/SRC/output_blif.c,70,9
ODIN_II/SRC/read_blif.c,ODIN_II/SRC/verilog_preprocessor.c,70,9
ODIN_II/SRC/memories.c,ODIN_II/SRC/netlist_utils.c,66,11
