pull_request_id,number_commits,is_merged,number_additions,number_deletions,number_changed_files,number_comments,body,sha,merged_at
2013,1,True,56,83,8,3,"Signed-off-by: Seyed Alireza Damghani <sdamghan@unb.ca>

<!--- Provide a general summary of your changes in the Title above -->

#### Description
<!--- Describe your changes in detail -->
Padding the multiplication output port if it's size is less than the sum of both input ports

#### Related Issue
<!--- Pull requests should be related to open issues -->
<!--- If suggesting a new feature or change, please discuss it in an issue first -->
<!--- If fixing a bug, there should be an issue describing it with steps to reproduce -->
<!--- Please link to the issue here: -->
#2007 

#### Motivation and Context
<!--- Why is this change required? What problem does it solve? -->

#### How Has This Been Tested?
<!--- Please describe in detail how you tested your changes. -->
<!--- Include details of your testing environment, and the tests you ran to -->
<!--- see how your change affects other areas of the code, etc. -->

#### Types of changes
<!--- What types of changes does your code introduce? Put an `x` in all the boxes that apply: -->
- [x] Bug fix (change which fixes an issue)
- [ ] New feature (change which adds functionality)
- [ ] Breaking change (fix or feature that would cause existing functionality to change)

#### Checklist:
<!--- Go over all the following points, and put an `x` in all the boxes that apply. -->
<!--- If you're unsure about any of these, don't hesitate to ask. We're here to help! -->
- [ ] My change requires a change to the documentation
- [ ] I have updated the documentation accordingly
- [ ] I have added tests to cover my changes
- [x] All new and existing tests passed
",d09ba2c2922ab62e1367b4c08ececc0b42417e47,2022-04-21 15:27:53
2004,15,False,2611598,30,258,0,"Creation of personal workspace

",98fed3fb0201b8d15b6c7005a337c482af564f1f,
2002,2,True,1632,40,9,2,"This PR fixes some issues with unconnected port handling in output Verilog netlist:

#### Description
 - Single-bit unconnected outputs are no longer connected to `1'bx` which was illegal
 - In `unconnected` mode multi-bit unconnected outputs are tied to unique nets only if a part of such a wide port is unconnected (there is no other way to express that). Completely unconnected ports in this mode are left blank.
 - All dummy unconnected nets (`_vpr_unconnected_<n>`) are explicitly declared as wires. This makes the netlist readable in case of `default_nettype none` mode.

#### Related Issue

This is a followup to https://github.com/verilog-to-routing/vtr-verilog-to-routing/pull/1789

#### Motivation and Context

Connections to `1'bx` on output ports have been observed which made Verilog elaborator (Icarus Verilog) crash.

#### How Has This Been Tested?

Unit tests have been added.

#### Types of changes
<!--- What types of changes does your code introduce? Put an `x` in all the boxes that apply: -->
- [x] Bug fix (change which fixes an issue)
- [ ] New feature (change which adds functionality)
- [ ] Breaking change (fix or feature that would cause existing functionality to change)

#### Checklist:
<!--- Go over all the following points, and put an `x` in all the boxes that apply. -->
<!--- If you're unsure about any of these, don't hesitate to ask. We're here to help! -->
- [ ] My change requires a change to the documentation
- [ ] I have updated the documentation accordingly
- [x] I have added tests to cover my changes
- [x] All new and existing tests passed
",97fb515be41bde6ba6ea2a48a5d5e0c983e2b408,2022-03-28 10:35:57
1996,1,True,11,3,2,11,"Signed-off-by: Seyed Alireza Damghani <sdamghan@unb.ca>

<!--- Provide a general summary of your changes in the Title above -->

#### Description
<!--- Describe your changes in detail -->
Follow up on PR #1953 
Hardblocks, used by Yosys elaborator, are flaged to print their .model in the final BLIF file


#### Related Issue
<!--- Pull requests should be related to open issues -->
<!--- If suggesting a new feature or change, please discuss it in an issue first -->
<!--- If fixing a bug, there should be an issue describing it with steps to reproduce -->
<!--- Please link to the issue here: -->

#### Motivation and Context
<!--- Why is this change required? What problem does it solve? -->

#### How Has This Been Tested?
<!--- Please describe in detail how you tested your changes. -->
<!--- Include details of your testing environment, and the tests you ran to -->
<!--- see how your change affects other areas of the code, etc. -->

#### Types of changes
<!--- What types of changes does your code introduce? Put an `x` in all the boxes that apply: -->
- [x] Bug fix (change which fixes an issue)
- [ ] New feature (change which adds functionality)
- [ ] Breaking change (fix or feature that would cause existing functionality to change)

#### Checklist:
<!--- Go over all the following points, and put an `x` in all the boxes that apply. -->
<!--- If you're unsure about any of these, don't hesitate to ask. We're here to help! -->
- [ ] My change requires a change to the documentation
- [ ] I have updated the documentation accordingly
- [ ] I have added tests to cover my changes
- [x] All new and existing tests passed
",53ceccbb0667a8068d7f0771ee7c28d9cbc878ab,2022-04-19 16:06:46
1993,4,False,1110,2,25,0,"In this PR, The support for the EDIF netlist reading is added. 

#### Description
 Initially the flow can read BLIF netlist after the addition of this support in the flow the netlist written in the .edif/.edn format can also be processed   

#### Motivation and Context
The flow will be upgraded and able to process multiple format netlists

#### How Has This Been Tested?
It will be checked on multiple netlists (test cases) written in .edif format and compared with the .blif format netlist results as the .blif netlist is working good .

",1afa060b2257d9ac3feac27a63af33b1b294fc22,
1992,1,True,1,0,1,0,"There is a [change in llvm](https://github.com/verilog-to-routing/vtr-verilog-to-routing.git) that soon won't automatically
surface symbols from a transitive include of `<algorithm>`, so we need to make sure to IWYU.",4ecdb5d273cf817ce25a8c5446f7813900deb378,2022-03-08 19:27:58
1991,1,True,1,1,1,1,"Signed-off-by: Seyed Alireza Damghani <sdamghan@unb.ca>

<!--- Provide a general summary of your changes in the Title above -->

#### Description
<!--- Describe your changes in detail -->
A minor change to the Yosys synthesis script to make it more configurable for the Yosys+Odin-II synthesizer.  
Now, users can specify `(* nomem2reg/mem2reg = 1/0 *)` before a reg declaration in a Verilog file to specify whether it should be an array of registers or a memory hard block.

#### Related Issue
<!--- Pull requests should be related to open issues -->
<!--- If suggesting a new feature or change, please discuss it in an issue first -->
<!--- If fixing a bug, there should be an issue describing it with steps to reproduce -->
<!--- Please link to the issue here: -->

#### Motivation and Context
<!--- Why is this change required? What problem does it solve? -->

#### How Has This Been Tested?
<!--- Please describe in detail how you tested your changes. -->
<!--- Include details of your testing environment, and the tests you ran to -->
<!--- see how your change affects other areas of the code, etc. -->
make test and VTR regression tests


#### Types of changes
<!--- What types of changes does your code introduce? Put an `x` in all the boxes that apply: -->
- [ ] Bug fix (change which fixes an issue)
- [x] New feature (change which adds functionality)
- [ ] Breaking change (fix or feature that would cause existing functionality to change)

#### Checklist:
<!--- Go over all the following points, and put an `x` in all the boxes that apply. -->
<!--- If you're unsure about any of these, don't hesitate to ask. We're here to help! -->
- [ ] My change requires a change to the documentation
- [ ] I have updated the documentation accordingly
- [ ] I have added tests to cover my changes
- [x] All new and existing tests passed
",34f16e06a481d518bf5ef9842daa0d391e6af845,2022-03-07 22:13:22
1985,1,True,3,0,1,0,"Signed-off-by: Alessandro Comodi <acomodi@antmicro.com>

<!--- Provide a general summary of your changes in the Title above -->

#### Description
<!--- Describe your changes in detail -->
With the new GH custom runners, CI for large tests cannot run on forks, as the custom runners are not deployed for usage outside of the scope of the `verilog-to-routing` org. This prevents the workflow from failing due to unavailable runners.

#### Types of changes
<!--- What types of changes does your code introduce? Put an `x` in all the boxes that apply: -->
- [ ] Bug fix (change which fixes an issue)
- [ ] New feature (change which adds functionality)
- [ ] Breaking change (fix or feature that would cause existing functionality to change)

#### Checklist:
<!--- Go over all the following points, and put an `x` in all the boxes that apply. -->
<!--- If you're unsure about any of these, don't hesitate to ask. We're here to help! -->
- [ ] My change requires a change to the documentation
- [ ] I have updated the documentation accordingly
- [ ] I have added tests to cover my changes
- [x] All new and existing tests passed
",f50ababa119918621384f7f2915590acf32d5cb2,2022-02-23 17:15:12
1984,2,True,51,59,2,8,"#### Description

Since the events that trigger both workflows are the same, it's not worth having them separated.

#### Related Issue

*None*

#### Motivation and Context

See Description above.

#### How Has This Been Tested?

It's CI.

#### Types of changes

- [ ] Bug fix (change which fixes an issue)
- [ ] New feature (change which adds functionality)
- [ ] Breaking change (fix or feature that would cause existing functionality to change)

#### Checklist:

- [ ] My change requires a change to the documentation
- [ ] I have updated the documentation accordingly
- [ ] I have added tests to cover my changes
- [ ] All new and existing tests passed
",a19beaec74a273b36a952c2c5c9a60f6c2292317,2022-03-22 10:28:47
1983,7,True,211,38,13,2,"#### Description
During place moves, if a cluster is constrained, we do an additional step of intersecting the cluster's move range limit with its floorplan constraint before we create a move.

#### Related Issue
Related to adding floorplan constraints to VPR - issue #932

#### Motivation and Context
When running with floorplan constraints, placement time was increasing due to an increased number of aborted moves. This increase was a result of moves being created that moved the block out of its floorplan constraints. By adjusting the range limit, we reduce the number of moves that are illegal with respect to floorplanning and so the place time decreases. Although the place time still increases relative to running with no constraints, the increase is minimized.

The reduction in place time on different titan circuits that were run with floorplan constraints can be seen here:
[titan_QoR_results_round2.xlsx](https://github.com/verilog-to-routing/vtr-verilog-to-routing/files/8089351/titan_QoR_results_round2.xlsx)

",ab88ee17c5106b22aa238c80e6d8c3eed5d7668e,2022-02-25 17:27:36
1982,1,True,4,11,2,1,"#### Description

Some of the tweaks in the docs requirements file seem to be outdated.

#### Related Issue

*None*.

#### Motivation and Context

The ""section captions"" in the sidebar are shown incorrectly. I think that's because docutils and sphinx pinned to old versions. This PR unpins them.

#### How Has This Been Tested?

See https://vtr--1982.org.readthedocs.build/en/1982/.

#### Types of changes

- [x] Bug fix (change which fixes an issue)
- [ ] New feature (change which adds functionality)
- [ ] Breaking change (fix or feature that would cause existing functionality to change)

#### Checklist:

- [ ] My change requires a change to the documentation
- [ ] I have updated the documentation accordingly
- [ ] I have added tests to cover my changes
- [ ] All new and existing tests passed
",80c3f1cdab4b40b88d0eeb17c59951d7189ffe46,2022-02-23 16:36:35
1981,1,True,1,1,1,0,"Points ""On Biased and Non-Uniform Global Routing Architectures and CAD Tools for FPGAs"" to https://www.eecg.utoronto.ca/~vaughn/papers/techrep.pdf -- a known working link of the paper referenced. Resolving https://github.com/verilog-to-routing/vtr-verilog-to-routing/issues/1967

<!--- Provide a general summary of your changes in the Title above -->
#### Description
Fixing `z_references.bib` link.
<!--- Describe your changes in detail -->


#### Related Issue
<!--- Pull requests should be related to open issues -->
https://github.com/verilog-to-routing/vtr-verilog-to-routing/issues/1967

<!--- If suggesting a new feature or change, please discuss it in an issue first -->
<!--- If fixing a bug, there should be an issue describing it with steps to reproduce -->
<!--- Please link to the issue here: -->

#### Motivation and Context
<!--- Why is this change required? What problem does it solve? -->
Broken link. 
#### How Has This Been Tested?
<!--- Please describe in detail how you tested your changes. -->

<!--- Include details of your testing environment, and the tests you ran to -->
<!--- see how your change affects other areas of the code, etc. -->
Tested with a known-good link. No impact to code base. 

#### Types of changes
This is documentation bug fix. No checklist items below apply. 

<!--- What types of changes does your code introduce? Put an `x` in all the boxes that apply: -->
- [ ] Bug fix (change which fixes an issue)
- [ ] New feature (change which adds functionality)
- [ ] Breaking change (fix or feature that would cause existing functionality to change)

#### Checklist:
<!--- Go over all the following points, and put an `x` in all the boxes that apply. -->
<!--- If you're unsure about any of these, don't hesitate to ask. We're here to help! -->
- [ ] My change requires a change to the documentation
- [ ] I have updated the documentation accordingly
- [ ] I have added tests to cover my changes
- [ ] All new and existing tests passed
",ef20e8f247caeb3e80fdd5658a662eef644ad57b,2022-02-23 17:05:42
1980,2,True,10,2,1,3,"#### Description
Updating the building doc to point to correct task path and output. 

#### Related Issue
#1966 Doc update. 

",6901612b92c9d682e57c7f4a93b3e06808141595,2022-02-15 17:42:52
1979,1,True,5,212,1,1,"#### Description

The configuration file was autogenerated several years ago. It contained multiple commented options, to provide an easy startup. However, those might have changed since then, and there is no track of that.
Instead, this PR removes unused options and comments, and provides a reference to the updated Sphinx docs at the top.

#### Related Issue

*None*

#### Motivation and Context

See Description above.

#### How Has This Been Tested?

It's comments only.

#### Types of changes

- [ ] Bug fix (change which fixes an issue)
- [ ] New feature (change which adds functionality)
- [ ] Breaking change (fix or feature that would cause existing functionality to change)

#### Checklist:

- [x] My change requires a change to the documentation
- [x] I have updated the documentation accordingly
- [ ] I have added tests to cover my changes
- [ ] All new and existing tests passed
",6bf82b6f4ff7b0ebde5f444a0bae27fe02a3c38a,2022-02-23 16:45:03
1977,1,True,1,1,1,0,This is just a typo in the first sentence of the docs.,7085c881170d37de749a63f93b90b6dc87387ef2,2022-02-13 18:17:29
1976,1,True,1,1,1,1,"#### Description

The year shown at the footer of the docs is `2016`. This PR updates it to `2012-2022`. @vaughnbetz what should be the proper starting year?

#### Related Issue

*None*

#### Motivation and Context

The docs have been updated since 2016...

#### How Has This Been Tested?

It's changing the content of a hardcoded string. There is no functionality change at all. It's tested in CI.

#### Types of changes

- [x] Bug fix (change which fixes an issue)
- [ ] New feature (change which adds functionality)
- [ ] Breaking change (fix or feature that would cause existing functionality to change)

#### Checklist:

- [x] My change requires a change to the documentation
- [x] I have updated the documentation accordingly
- [ ] I have added tests to cover my changes
- [ ] All new and existing tests passed
",b2aff7096efc8c92db4c7706ef5103aaae02fb31,2022-02-15 18:13:01
1974,1,True,37,0,1,2,"#### Description

As discussed in #1970, this PR adds a CI workflow to test building the Dockerfile, and to push it to ghcr.io.

#### Related Issue

- #1970

#### Motivation and Context

Test when the Dockerfile breaks.

#### How Has This Been Tested?

It's CI, so self-tested.

#### Types of changes

- [ ] Bug fix (change which fixes an issue)
- [x] New feature (change which adds functionality)
- [ ] Breaking change (fix or feature that would cause existing functionality to change)

#### Checklist:

- [ ] My change requires a change to the documentation
- [ ] I have updated the documentation accordingly
- [ ] I have added tests to cover my changes
- [ ] All new and existing tests passed
",5f79c629ffe50d42525cd691ba81e307709a7567,2022-02-23 16:39:49
